Navn;Stasjon;Tid(norsk normaltid);Høyeste vindkast (døgn);Høyeste middelvind (døgn)
Sola;SN44560;21.09.2021;13,7;10,1
Sola;SN44560;22.09.2021;10,2;7,3
Sola;SN44560;23.09.2021;23,3;17,8
Sola;SN44560;24.09.2021;15,3;11,5
Sola;SN44560;25.09.2021;13,4;10,3
Sola;SN44560;26.09.2021;12,6;9,2
Sola;SN44560;27.09.2021;17,2;12,3
Sola;SN44560;28.09.2021;18;12,8
Sola;SN44560;29.09.2021;16;12,1
Sola;SN44560;30.09.2021;6,5;4,4
Sola;SN44560;01.10.2021;17,2;11,9
Sola;SN44560;02.10.2021;12,2;9,1
Sola;SN44560;03.10.2021;19,9;14,5
Sola;SN44560;04.10.2021;16,6;11,7
Sola;SN44560;05.10.2021;17,1;8,2
Sola;SN44560;06.10.2021;5,5;4,5
Sola;SN44560;07.10.2021;12,3;8,7
Sola;SN44560;08.10.2021;13,6;10,2
Sola;SN44560;09.10.2021;11,8;8,9
Sola;SN44560;10.10.2021;13,3;10
Sola;SN44560;11.10.2021;17,3;13,4
Sola;SN44560;12.10.2021;10,4;7,6
Sola;SN44560;13.10.2021;11,7;8,3
Sola;SN44560;14.10.2021;14,2;10,3
Sola;SN44560;15.10.2021;24;14,3
Sola;SN44560;16.10.2021;16,4;12,7
Sola;SN44560;17.10.2021;5,6;4,7
Sola;SN44560;18.10.2021;10,6;6,9
Sola;SN44560;19.10.2021;15;10
Sola;SN44560;20.10.2021;13,2;8,8
Sola;SN44560;21.10.2021;21,4;15,9
Sola;SN44560;22.10.2021;22,8;14,8
Sola;SN44560;23.10.2021;22,8;15,9
Sola;SN44560;24.10.2021;14,4;9,6
Sola;SN44560;25.10.2021;15,6;9,4
Sola;SN44560;26.10.2021;9,8;6,9
Sola;SN44560;27.10.2021;14,3;10
Sola;SN44560;28.10.2021;15;11
Sola;SN44560;29.10.2021;16,4;11
Sola;SN44560;30.10.2021;19,4;14
Sola;SN44560;31.10.2021;19,2;13,2
Sola;SN44560;01.11.2021;20,1;12,9
Sola;SN44560;02.11.2021;17,4;11,8
Sola;SN44560;03.11.2021;7;4,7
Sola;SN44560;04.11.2021;4,8;3,9
Sola;SN44560;05.11.2021;14,4;11,2
Sola;SN44560;06.11.2021;14,5;11
Sola;SN44560;07.11.2021;17,1;11,2
Sola;SN44560;08.11.2021;11,4;8,4
Sola;SN44560;09.11.2021;17,8;12,3
Sola;SN44560;10.11.2021;12,5;7,7
Sola;SN44560;11.11.2021;17,2;12,1
Sola;SN44560;12.11.2021;14,5;9,9
Sola;SN44560;13.11.2021;11,3;8,7
Sola;SN44560;14.11.2021;11,1;8,3
Sola;SN44560;15.11.2021;11,7;9,1
Sola;SN44560;16.11.2021;14,7;9,6
Sola;SN44560;17.11.2021;14,3;9,8
Sola;SN44560;18.11.2021;13;8,7
Sola;SN44560;19.11.2021;14,7;11,6
Sola;SN44560;20.11.2021;9,1;8,3
Sola;SN44560;21.11.2021;13;9,7
Sola;SN44560;22.11.2021;17;12,7
Sola;SN44560;23.11.2021;13;9,9
Sola;SN44560;24.11.2021;11,3;8,8
Sola;SN44560;25.11.2021;16,2;12,3
Sola;SN44560;26.11.2021;15,2;11,3
Sola;SN44560;27.11.2021;13,2;9,7
Sola;SN44560;28.11.2021;6,5;4,6
Sola;SN44560;29.11.2021;11;8,6
Sola;SN44560;30.11.2021;28,3;21,9
Sola;SN44560;01.12.2021;7,2;5,9
Sola;SN44560;02.12.2021;12,4;8,4
Sola;SN44560;03.12.2021;11,5;7,9
Sola;SN44560;04.12.2021;13,8;9,5
Sola;SN44560;05.12.2021;12,8;8,1
Sola;SN44560;06.12.2021;18,5;13,5
Sola;SN44560;07.12.2021;20,1;14,3
Sola;SN44560;08.12.2021;22,8;14,4
Sola;SN44560;09.12.2021;18,2;13,3
Sola;SN44560;10.12.2021;16,7;11,4
Sola;SN44560;11.12.2021;6,7;5,4
Sola;SN44560;12.12.2021;13,5;9,3
Sola;SN44560;13.12.2021;12,3;9,5
Sola;SN44560;14.12.2021;11,3;8,3
Sola;SN44560;15.12.2021;9,4;6,9
Sola;SN44560;16.12.2021;9,2;7,3
Sola;SN44560;17.12.2021;6,5;5,3
Sola;SN44560;18.12.2021;13;9
Sola;SN44560;19.12.2021;17,5;12,8
Sola;SN44560;20.12.2021;4,9;4,1
Sola;SN44560;21.12.2021;5;4,5
Sola;SN44560;22.12.2021;6,1;4,9
Sola;SN44560;23.12.2021;8,2;6,1
Sola;SN44560;24.12.2021;10,9;8,5
Sola;SN44560;25.12.2021;3,6;2,6
Sola;SN44560;26.12.2021;3,3;2,5
Sola;SN44560;27.12.2021;15,9;10,6
Sola;SN44560;28.12.2021;11,8;7,4
Sola;SN44560;29.12.2021;11,3;8,2
Sola;SN44560;30.12.2021;18,8;14,3
Sola;SN44560;31.12.2021;7,1;5,4
Sola;SN44560;01.01.2022;15,4;11,6
Sola;SN44560;02.01.2022;12,5;9,3
Sola;SN44560;03.01.2022;14,6;11,3
Sola;SN44560;04.01.2022;17,7;12,7
Sola;SN44560;05.01.2022;15,5;12,5
Sola;SN44560;06.01.2022;10,6;8,1
Sola;SN44560;07.01.2022;13,8;10,2
Sola;SN44560;08.01.2022;9,6;7,3
Sola;SN44560;09.01.2022;13,8;9,6
Sola;SN44560;10.01.2022;18,9;13,4
Sola;SN44560;11.01.2022;19,3;13,6
Sola;SN44560;12.01.2022;10,3;7,4
Sola;SN44560;13.01.2022;14;9,3
Sola;SN44560;14.01.2022;18,2;13,5
Sola;SN44560;15.01.2022;9,2;6,8
Sola;SN44560;16.01.2022;16,5;12,2
Sola;SN44560;17.01.2022;21,2;15,9
Sola;SN44560;18.01.2022;7;5,5
Sola;SN44560;19.01.2022;25;17,8
Sola;SN44560;20.01.2022;28;18,8
Sola;SN44560;21.01.2022;11;8,8
Sola;SN44560;22.01.2022;9,1;7
Sola;SN44560;23.01.2022;9,3;6,2
Sola;SN44560;24.01.2022;9,7;7,4
Sola;SN44560;25.01.2022;8,8;6,2
Sola;SN44560;26.01.2022;20,4;11,7
Sola;SN44560;27.01.2022;25,5;20,3
Sola;SN44560;28.01.2022;21,6;15,1
Sola;SN44560;29.01.2022;31,7;24,2
Sola;SN44560;30.01.2022;34;26,5
Sola;SN44560;31.01.2022;16,7;12
Sola;SN44560;01.02.2022;21,2;15,3
Sola;SN44560;02.02.2022;22,7;17,3
Sola;SN44560;03.02.2022;11,2;8,4
Sola;SN44560;04.02.2022;18,8;12,4
Sola;SN44560;05.02.2022;19,8;13,5
Sola;SN44560;06.02.2022;21,2;14,7
Sola;SN44560;07.02.2022;25,5;16,8
Sola;SN44560;08.02.2022;17,9;13,2
Sola;SN44560;09.02.2022;21,2;13,7
Sola;SN44560;10.02.2022;19,9;13,3
Sola;SN44560;11.02.2022;13,4;10,3
Sola;SN44560;12.02.2022;16,4;10,8
Sola;SN44560;13.02.2022;13,7;10,1
Sola;SN44560;14.02.2022;11,1;8,1
Sola;SN44560;15.02.2022;12,7;8,8
Sola;SN44560;16.02.2022;12,4;8,9
Sola;SN44560;17.02.2022;14;9,8
Sola;SN44560;18.02.2022;18,3;12,4
Sola;SN44560;19.02.2022;10,1;8
Sola;SN44560;20.02.2022;23,6;15,8
Sola;SN44560;21.02.2022;18,5;14,2
Sola;SN44560;22.02.2022;16,6;12,4
Sola;SN44560;23.02.2022;17,3;13,2
Sola;SN44560;24.02.2022;18,3;13,1
Sola;SN44560;25.02.2022;18,5;13,5
Sola;SN44560;26.02.2022;15;10,3
Sola;SN44560;27.02.2022;15,4;10,8
Sola;SN44560;28.02.2022;17,9;13,5
Sola;SN44560;01.03.2022;16,7;12,3
Sola;SN44560;02.03.2022;6,6;5
Sola;SN44560;03.03.2022;8,9;6,6
Sola;SN44560;04.03.2022;11,1;8,1
Sola;SN44560;05.03.2022;7,1;5
Sola;SN44560;06.03.2022;8,3;6,4
Sola;SN44560;07.03.2022;6,5;4,9
Sola;SN44560;08.03.2022;8,2;6,2
Sola;SN44560;09.03.2022;16,5;12,6
Sola;SN44560;10.03.2022;15,1;11,8
Sola;SN44560;11.03.2022;19;13,2
Sola;SN44560;12.03.2022;19,7;14
Sola;SN44560;13.03.2022;16,9;12,9
Sola;SN44560;14.03.2022;11,3;8
Sola;SN44560;18.03.2022;9,5;6,2
Sola;SN44560;19.03.2022;6,5;4,6
Sola;SN44560;20.03.2022;13,1;9,1
Sola;SN44560;21.03.2022;13,4;10,1
Sola;SN44560;22.03.2022;9,3;7,8
Sola;SN44560;23.03.2022;5,5;4,3
Sola;SN44560;24.03.2022;5,6;4,3
Sola;SN44560;25.03.2022;9,5;6,7
