Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Sola;SN44560;10.09.2005;17,4
Sola;SN44560;11.09.2005;17,4
Sola;SN44560;12.09.2005;14,8
Sola;SN44560;13.09.2005;16,5
Sola;SN44560;14.09.2005;15,1
Sola;SN44560;15.09.2005;12,5
Sola;SN44560;16.09.2005;11,4
Sola;SN44560;17.09.2005;11,7
Sola;SN44560;18.09.2005;14,8
Sola;SN44560;19.09.2005;15,3
Sola;SN44560;20.09.2005;15,2
Sola;SN44560;21.09.2005;15,6
Sola;SN44560;22.09.2005;16,6
Sola;SN44560;23.09.2005;18,6
Sola;SN44560;24.09.2005;15,9
Sola;SN44560;25.09.2005;15,6
Sola;SN44560;26.09.2005;16,5
Sola;SN44560;27.09.2005;15,9
Sola;SN44560;28.09.2005;13,9
Sola;SN44560;29.09.2005;12,6
Sola;SN44560;30.09.2005;12,7
Sola;SN44560;01.09.2006;18,9
Sola;SN44560;02.09.2006;19
Sola;SN44560;03.09.2006;17,3
Sola;SN44560;04.09.2006;16,8
Sola;SN44560;05.09.2006;16,2
Sola;SN44560;06.09.2006;15,4
Sola;SN44560;07.09.2006;16,4
Sola;SN44560;08.09.2006;14,7
Sola;SN44560;09.09.2006;17,2
Sola;SN44560;10.09.2006;17,2
Sola;SN44560;11.09.2006;22
Sola;SN44560;12.09.2006;24,1
Sola;SN44560;13.09.2006;25,5
Sola;SN44560;14.09.2006;25,6
Sola;SN44560;15.09.2006;23,7
Sola;SN44560;16.09.2006;23,4
Sola;SN44560;17.09.2006;21,9
Sola;SN44560;18.09.2006;19,6
Sola;SN44560;19.09.2006;17
Sola;SN44560;20.09.2006;15,8
Sola;SN44560;21.09.2006;21,4
Sola;SN44560;22.09.2006;24,8
Sola;SN44560;23.09.2006;20,7
Sola;SN44560;24.09.2006;18,1
Sola;SN44560;25.09.2006;21,9
Sola;SN44560;26.09.2006;18,7
Sola;SN44560;27.09.2006;17,3
Sola;SN44560;28.09.2006;17
Sola;SN44560;29.09.2006;17,6
Sola;SN44560;30.09.2006;17,8
Sola;SN44560;01.09.2007;14,6
Sola;SN44560;02.09.2007;15,2
Sola;SN44560;03.09.2007;12,7
Sola;SN44560;04.09.2007;14
Sola;SN44560;05.09.2007;14,9
Sola;SN44560;06.09.2007;15,9
Sola;SN44560;07.09.2007;14,6
Sola;SN44560;08.09.2007;14,4
Sola;SN44560;09.09.2007;12,7
Sola;SN44560;10.09.2007;15
Sola;SN44560;11.09.2007;14,1
Sola;SN44560;12.09.2007;13,3
Sola;SN44560;13.09.2007;14
Sola;SN44560;14.09.2007;14
Sola;SN44560;15.09.2007;10,9
Sola;SN44560;16.09.2007;13,6
Sola;SN44560;17.09.2007;12,7
Sola;SN44560;18.09.2007;10,4
Sola;SN44560;19.09.2007;13,2
Sola;SN44560;20.09.2007;13,2
Sola;SN44560;21.09.2007;13,4
Sola;SN44560;22.09.2007;14,3
Sola;SN44560;23.09.2007;16,3
Sola;SN44560;24.09.2007;16,9
Sola;SN44560;25.09.2007;13,9
Sola;SN44560;26.09.2007;13,4
